Epoch,OnTrack,Input_Left,Input_Right,Reservoir,Output_Left,Output_Right
650,130,0,0,0,96,84
651,130,0,0,0,96,84
652,130,0,0,0,96,84
653,130,0,0,0,96,84
654,129,0,0,0,96,84
655,128,0,0,0,96,84
656,128,0,0,0,96,84
657,128,0,0,0,96,84
658,128,0,0,0,96,84
659,126,0,0,0,96,84
660,126,0,0,0,96,84
661,126,0,0,0,96,84
662,125,0,0,0,96,84
663,125,0,0,0,96,84
664,125,0,0,0,96,84
665,125,0,0,0,96,84
666,125,0,0,0,96,84
667,125,0,0,0,96,84
668,125,0,0,0,96,84
669,124,0,0,0,96,84
670,124,0,0,0,96,84
671,124,0,0,0,96,84
672,124,0,0,0,96,84
673,123,0,0,0,96,84
674,122,0,0,0,96,84
675,122,0,0,0,96,84
676,121,0,0,0,96,84
677,121,0,0,0,96,84
678,121,0,0,0,96,84
679,121,0,0,0,96,84
680,120,0,0,0,96,84
681,120,0,0,0,96,84
682,119,0,0,0,96,84
683,119,0,0,0,96,84
684,119,0,0,0,96,84
685,119,0,0,0,96,84
686,119,0,0,0,96,84
687,119,0,0,0,96,84
688,119,0,0,0,96,84
689,119,0,0,0,96,84
690,118,0,0,0,96,84
691,118,0,0,0,96,84
692,117,0,0,0,96,84
693,116,0,0,0,96,84
694,116,0,0,0,96,84
695,116,0,0,0,96,84
696,116,0,0,0,96,84
697,116,0,0,0,96,84
698,115,0,0,0,96,84
699,115,0,0,0,96,84
700,115,0,0,0,96,84
701,115,0,0,0,96,84
702,115,0,0,0,96,84
703,114,0,0,0,96,84
704,114,0,0,0,96,84
705,114,0,0,0,96,84
706,113,0,0,0,96,84
707,112,0,0,0,96,84
708,111,0,0,0,96,84
709,110,0,0,0,96,84
710,110,0,0,0,96,84
711,110,0,0,0,96,84
712,110,0,0,0,96,84
713,110,0,0,0,96,84
714,110,0,0,0,96,84
715,110,0,0,0,96,84
716,110,0,0,0,96,84
717,110,0,0,0,96,84
718,109,0,0,0,96,84
719,109,0,0,0,96,84
720,109,0,0,0,96,84
721,108,0,0,0,96,84
722,108,0,0,0,96,84
723,108,0,0,0,96,84
724,108,0,0,0,96,84
725,106,0,0,0,96,84
726,106,0,0,0,96,84
727,106,0,0,0,96,84
728,106,0,0,0,96,84
729,106,0,0,0,96,84
730,105,0,0,0,96,84
731,105,0,0,0,96,84
732,105,0,0,0,96,84
733,105,0,0,0,96,84
734,105,0,0,0,96,84
735,105,0,0,0,96,84
736,105,0,0,0,96,84
737,105,0,0,0,96,84
738,104,0,0,0,96,84
739,104,0,0,0,96,84
740,103,0,0,0,96,84
741,102,0,0,0,96,84
742,102,0,0,0,96,84
743,101,0,0,0,96,84
744,100,0,0,0,96,84
745,99,0,0,0,96,84
746,99,0,0,0,96,84
747,99,0,0,0,96,84
748,99,0,0,0,96,84
749,99,0,0,0,96,84
750,99,0,0,0,96,84
751,98,0,0,0,96,84
752,98,0,0,0,96,84
753,98,0,0,0,96,84
754,97,0,0,0,96,84
755,97,0,0,0,96,84
756,97,0,0,0,96,84
757,97,0,0,0,96,84
758,96,0,0,0,96,84
759,96,0,0,0,96,84
760,96,0,0,0,96,84
761,96,0,0,0,96,84
762,95,0,0,0,96,84
763,94,0,0,0,96,84
764,94,0,0,0,96,84
765,93,0,0,0,96,84
766,93,0,0,0,96,84
767,93,0,0,0,96,84
768,92,0,0,0,96,84
769,92,0,0,0,96,84
770,92,0,0,0,96,84
771,92,0,0,0,96,84
772,91,0,0,0,96,84
773,90,0,0,0,96,84
774,90,0,0,0,96,84
775,90,0,0,0,96,84
776,89,0,0,0,96,84
777,89,0,0,0,96,84
778,89,0,0,0,96,84
779,89,0,0,0,96,84
780,88,0,0,0,96,84
781,88,0,0,0,96,84
782,88,0,0,0,96,84
783,88,0,0,0,96,84
784,88,0,0,0,96,84
785,88,0,0,0,96,84
786,88,0,0,0,96,84
787,88,0,0,0,96,84
788,87,0,0,0,96,84
789,85,0,0,0,96,84
790,84,0,0,0,96,84
791,84,0,0,0,96,84
792,84,0,0,0,96,84
793,84,0,0,0,96,84
794,82,0,0,0,96,84
795,82,0,0,0,96,84
796,82,0,0,0,96,84
797,82,0,0,0,96,84
798,81,0,0,0,96,84
799,81,0,0,0,96,84
800,80,0,0,0,96,84
801,80,0,0,0,96,84
802,80,0,0,0,96,84
803,79,0,0,0,96,84
804,79,0,0,0,96,84
805,78,0,0,0,96,84
806,78,0,0,0,96,84
807,77,0,0,0,96,84
808,76,0,0,0,96,84
809,76,0,0,0,96,84
810,76,0,0,0,96,84
811,76,0,0,0,96,84
812,75,0,0,0,96,84
813,75,0,0,0,96,84
814,75,0,0,0,96,84
815,74,0,0,0,96,84
816,73,0,0,0,96,84
817,73,0,0,0,96,84
818,72,0,0,0,96,84
819,72,0,0,0,96,84
820,71,0,0,0,96,84
821,71,0,0,0,96,84
822,71,0,0,0,96,84
823,71,0,0,0,96,84
824,71,0,0,0,96,84
825,70,0,0,0,96,84
826,69,0,0,0,96,84
827,68,0,0,0,96,84
828,68,0,0,0,96,84
829,68,0,0,0,96,84
830,68,0,0,0,96,84
831,68,0,0,0,96,84
832,68,0,0,0,96,84
833,67,0,0,0,96,84
834,67,0,0,0,96,84
835,67,0,0,0,96,84
836,66,0,0,0,96,84
837,66,0,0,0,96,84
838,64,0,0,0,96,84
839,64,0,0,0,96,84
840,64,0,0,0,96,84
841,64,0,0,0,96,84
842,63,0,0,0,96,84
843,62,0,0,0,96,84
844,62,0,0,0,96,84
845,62,0,0,0,96,84
846,62,0,0,0,96,84
847,62,0,0,0,96,84
848,61,0,0,0,96,84
849,61,0,0,0,96,84
850,60,0,0,0,96,84
851,60,0,0,0,96,84
852,59,0,0,0,96,84
853,59,0,0,0,96,84
854,59,0,0,0,96,84
855,58,0,0,0,96,84
856,58,0,0,0,96,84
857,58,0,0,0,96,84
858,58,0,0,0,96,84
859,58,0,0,0,96,84
860,58,0,0,0,96,84
861,57,0,0,0,96,84
862,57,0,0,0,96,84
863,57,0,0,0,96,84
864,55,0,0,0,96,84
865,54,0,0,0,96,84
866,54,0,0,0,96,84
867,53,0,0,0,96,84
868,53,0,0,0,96,84
869,53,0,0,0,96,84
870,52,0,0,0,96,84
871,51,0,0,0,96,84
872,51,0,0,0,96,84
873,51,0,0,0,96,84
874,51,0,0,0,96,84
875,51,0,0,0,96,84
876,50,0,0,0,96,84
877,50,0,0,0,96,84
878,50,0,0,0,96,84
879,50,0,0,0,96,84
880,49,0,0,0,96,84
881,48,0,0,0,96,84
882,48,0,0,0,96,84
883,47,0,0,0,96,84
884,46,0,0,0,96,84
885,46,0,0,0,96,84
886,45,0,0,0,96,84
887,45,0,0,0,96,84
888,45,0,0,0,96,84
889,44,0,0,0,96,84
890,44,0,0,0,96,84
891,42,0,0,0,96,84
892,42,0,0,0,96,84
893,42,0,0,0,96,84
894,42,0,0,0,96,84
895,41,0,0,0,96,84
896,40,0,0,0,96,84
897,40,0,0,0,96,84
898,40,0,0,0,96,84
899,40,0,0,0,96,84
900,40,0,0,0,96,84
901,39,0,0,0,96,84
902,38,0,0,0,96,84
903,38,0,0,0,96,84
904,38,0,0,0,96,84
905,38,0,0,0,96,84
906,37,0,0,0,96,84
907,37,0,0,0,96,84
908,36,0,0,0,96,84
909,35,0,0,0,96,84
910,35,0,0,0,96,84
911,35,0,0,0,96,84
912,35,0,0,0,96,84
913,35,0,0,0,96,84
914,35,0,0,0,96,84
915,35,0,0,0,96,84
916,34,0,0,0,96,84
917,34,0,0,0,96,84
918,33,0,0,0,96,84
919,33,0,0,0,96,84
920,32,0,0,0,96,84
921,32,0,0,0,96,84
922,31,0,0,0,96,84
923,30,0,0,0,96,84
924,30,0,0,0,96,84
925,29,0,0,0,96,84
926,28,0,0,0,96,84
927,28,0,0,0,96,84
928,28,0,0,0,96,84
929,28,0,0,0,96,84
930,28,0,0,0,96,84
931,28,0,0,0,96,84
932,27,0,0,0,96,84
933,27,0,0,0,96,84
934,26,0,0,0,96,84
935,26,0,0,0,96,84
936,26,0,0,0,96,84
937,26,0,0,0,96,84
938,25,0,0,0,96,84
939,24,0,0,0,96,84
940,24,0,0,0,96,84
941,24,0,0,0,96,84
942,23,0,0,0,96,84
943,22,0,0,0,96,84
944,22,0,0,0,96,84
945,22,0,0,0,96,84
946,21,0,0,0,96,84
947,21,0,0,0,96,84
948,20,0,0,0,96,84
949,20,0,0,0,96,84
950,20,0,0,0,96,84
951,20,0,0,0,96,84
952,19,0,0,0,96,84
953,19,0,0,0,96,84
954,18,0,0,0,96,84
955,17,0,0,0,96,84
956,17,0,0,0,96,84
957,17,0,0,0,96,84
958,16,0,0,0,96,84
959,16,0,0,0,96,84
960,15,0,0,0,96,84
961,15,0,0,0,96,84
962,14,0,0,0,96,84
963,14,0,0,0,96,84
964,13,0,0,0,96,84
965,13,0,0,0,96,84
966,13,0,0,0,96,84
967,12,0,0,0,96,84
968,12,0,0,0,96,84
969,12,0,0,0,96,84
970,11,0,0,0,96,84
971,10,0,0,0,96,84
972,10,0,0,0,96,84
973,10,0,0,0,96,84
974,9,0,0,0,96,84
975,9,0,0,0,96,84
976,8,0,0,0,96,84
977,8,0,0,0,96,84
978,8,0,0,0,96,84
979,8,0,0,0,96,84
980,6,0,0,0,96,84
